Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,Description,AdoptionSpeed,PID
2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,to be spayed on /12 adorable & friendly,3,16
1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,shes active... she can obey wht command that u told her.. example shakeshand . sleep and eat .. command in english n tamil :).. she will bark if thr suspicius ppl... good for guard act like a male dog..she will sleept in mattres or cradle..whn she eat u can even touch her...we let her because no time to care she... so anyybody intrested to addopt plss call to.. im Mr.Tom..thx petfinder..,4,17
1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,"This cutie dumped by it's owner at the market and almost kill by the car, after kicking by the guy, trying to hide herself for safe under the car while the driver is ready to run, ran to her hit on the car to notice the driver stop before i pulled her out and safe her. Luckily the kindness factory guy is allowed me to keep her there, cause my shop is full with 19 dogs and cats, situation not allow me to take in more, due to my work i could only feed her once a day and clean her cage. She's a black beauty, about 2months +, if anyone able to give her a forever home, please do directly contact with me or sms me,thanks! And PLEASE the more i can rehome, the more i can rescue!",2,18
2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,"Birth Date: Oct 30th Kitty 1, Melly -Female Sangat comel and vokal. Kitty 2, Tootsie - Male Badan putih, tapi ekor hitam and telinga kekuning-kuningan, macam kucing 3 color. Kitty 3, Bo -Male Corak badan 3 tompok, he is one of the most quite and lightest kitty of the litter tapi jantan. Kitty 4, Michii - Female Macam abang kembar, she is very subtle and sweet, have 1 big spot behind her back and 1 super cute spot belakang telinga. Kitty 5, Missy - Female. She is very curious and adventurous. Very lovable, with sweet voice !",4,19
1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,"Godiva was rescued in Serdang residential area. Her group of friends were caught by dog catcher team and she is the only one left. Being stray, she is not afraid of human touch, she is believed to be fed by some household throughout the period. Godiva looks gorgeous and her unigue colour coats is the eye - catcher. Medium length hair, she is absolutely beautiful and would be a good loving companion. Please do give her a good home.",2,20
1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,"Three puppies abandoned on the street, picked up and fed properly.Now active,healthy and cute.",4,21
2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,"My cats name is Kenit, Kenot,Owen, Keyad, Manja, Techit and 4 Kittens, Baby and family. All my cats are pamper.",4,22
1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,"Donut is a friendly doggie and very domesticated. She will bark at strangers and will not run out of the house. Needs a cage as her sleeping bed, she likes to lie in there. Her former owner abandoned her after she had demodex. She is cured now. Vaccination and neutering fees to be borne by adopter. Please call if you can give her a home.",4,23
2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,"hello cikenets fans, i just wanna inform that cikenet is not lost, i just found out that he is adopted by one of this apartment resident, he become an indoor cat now, he is in good hands and im happy for him..",1,24
2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,healthy toilet trained cute easy to look after playful,1,26
2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,"Just saved this kitten from the street, but i have too many dogs at home, could not adopt her.",2,27
1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,"healthy and active , skinny and tall, as the mother (doberman) fully vaccinated , dewormed. Authorities not allowed have more than 1 dog at home, they dont issue license .",3,28
2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,"This kitten found at the roadside. Stay there and keep meowing. Kitty like to follow human feet. When we stand still, kitty just lean on our feed and sit quietly. Only for indoor adoption. And the adopter must take the kitten to vaccination (start from 2 months old) and neuter (at 6 months old).",2,29
1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,"Benji and his sister Kimi are a handsome pair of shitzu cross. Both have cute shaggy face, with brown patches over their white body. Very manja and need lots of attention and love. Only as indoor pets and no caging.",3,30
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,tataO betine ke jantan...ank pd ibu gak,1,31
1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,"Boiboi is rescued by my daughter 2 years ago from outside her tuition place. He was sick and abandoned alone without the mother. Now he is very healthy, playful and gentle. He is not only playful but also toilet trained and well behave. I hope he can have new family with full of love and caring.",4,32
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,she fat n healthy. in door cat,4,36
2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,si comel ini memerlukan seseorang yang boleh menyayangi n menjaganya. she is a lovely cat :) love to be with people :D perlu di adopt dengan segera kerana keadaan sekarang bahaya baginya untuk tinggal di sini.,1,37
1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,"This is Whisky, rescued from the streets. He is looking for a loving home. He is very friendly and doesn't bark unnecessarily. Gets along quite well with another dog. Please contact me if you wish to adopt him. No caging up or tying up.",1,38
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,-playful -energetic dog -friendly and easily attached to owners -good to be guard and sports companion,3,39
2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,"We temporarily fostered Angel's mother and her three kittens after birth. Angel is born on the 11 March . She is 9 weeks old now. We are looking for a home for Angel. We are looking for working Malaysians or Malaysian families to adopt her. Angel was rather timid and shy when she was a younger kitten but we've seen her blossom in the last few weeks. She is really loving towards her siblings. Note : We put her up for adoption earlier but when the potential adopter failed to turn up, we decided to wait until she is at least two months old and emotionally more ready before putting up for adoption. Please Whatsapp me if you are interested. It is easier for me to keep track of the potential adopter via Whatsapp. I apologise if some of you have contacted me before and I was unable to get back to you. Sometimes it takes more than a week before potential adopters failed to turn up and I would have lost the contacts by then.",3,40
2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,"3 kittens for adoption, DOB 7 Jun , litter trained & defleas.. very playfull, funny & adorable",2,41
2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,she is tame siamese persian. she loves to be patted. blue eyed cat. she loves to sleep. she recently got her back leg scratched somewhere.,1,42
1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,"xiao gou already rescue one year dy,but still not yet get adopter yet....he so sweet n also like to play ....he hv a gf also ,his gf also is rescue after.one.year.dy...they need a.home.....both spay dy...hope can get adopt.one.pair.of.them",4,44
1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,"These 2 adorable male puppies were dumped outside of Mayo Veterinar Clinic, Taipan USJ. They are both active, healthy and up for adoption. Only for responsible adopters who are willing to spay the dogs at special rescue rate of RM only. For adoption, please contact Rani (who works at the vet) at. Address:Mayo Veterinar Clinic, UEP Subang Jaya, 11A, Jalan USJ 10/1g, Subang Jaya, Selangor, Malaysia Tel: +",4,45
2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,"He was very scared on our way back last night. Couldn't sit still and keep climbing car seat. After reached home, he walked around the house and smelt everything. Just let him familiarize himself with home first. After about 1 hour, I tried to tackle him by playing with him and petting him. He's very cute, active and a heavy sleeper. Love him. Thanks to Cik Amer for letting me adopt him. I'll upload his latest pics soon.",3,46
1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,"She is a calm, gentle, good-mannered, friendly,loyal and obedient dog. She was ill-treated by her previous owner. She was sent for a detailed medical examination and to treat some of her wounds, currently still under the vet care. She is eager to shower love to her future owners.",4,47
1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,We are cute and good girls and boys. We need a home sweet home. If u are interested to provide us a home. Pls contact ,3,48
2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,"Hi... I have one long haired adult male cat for adoption. Please email me for details.. I will have a few questions to ask before I determine who will be a suitable new owner of my beloved baby.. Please, a serious adopter only, who's willing to put heart and soul in caring for him...it's not a simple job :-) If you're just looking for a beautiful long haired kitty, please do not waste ur time emailing me. Thank u very much for ur cooperation. Serious adopters pls email me ",2,49
1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,"She is very active, obedient, cute! Found her in the drain, she need someone urgently for her new home. She does have skin rashes n taken medicine. Need time for her rashes to go but she is very lovable. I cant be taking of her as my bro in law is malay.",3,54
2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,"He was rescued as a little kitten about a month back, all its brothers and sisters have been adopted and he's left with his mother(a calico, whom he is very attached to; you can take them as a pair if you would like to, otherwise his mum is going back to the streets where she came from). He was a little weaker than the rest because he was the runt of the litter but he's been receiving treatment and is finally ready to embark on the journey of adoption! We would strongly encourage you to neuter him, he needs the extra health boost. He's a sweet little kitten, human friendly & quiet (except for meal times, he's a glutton)",4,56
1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,"Skippy is super friendly, great with kids, easy to handle, you can keep her in door due to her small size, and also she is toilet trained.",2,57
1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,"Ceasar is a male puppy. He is a very lovely, active and intelligent puppy. He always wanted to play with others dog.",1,58
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,"The mother is about 2years and kittens are around 2month,the mother is vaccinated.",4,59
2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,"Currently I am taking care of 3 kittens 1 mother cat and 3 other teenager cats. too many for me. Anyone interested in adopting an orange 'puss without boots' baby cat, please sms me. I think it is a she, she is probably 3 weeks old. Need a milk bottle to feed her.",1,60
1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,"Lego was in an accident and saved by one of our feeders. He is fully healed. One leg has a slight dent, as no surgery was needed. Lego loves humans and is sooo friendly. Poor boy is stuck in a cage all the time. He really needs a home. He does not care for other dogs though, Lego is a very handsome and loving boy.... please consider adopting him!!! Contact",4,61
1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,"Please help these puppies find good homes...A drain is definitely not a place we can call home! For adoption, kindly contact. Fosterer(s) are welcome, too.",2,63
1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,"~ PLEASE CLICK ON OUR PHOTOS FOR A CLEARER VIEW ~ ___________________________________________________ ♦ Introducing the Little Yelpers! ♦ Born on 24th September, : Now 8 weeks old, already fully on solid food (kibbles). Started potty training. They're free from fleas and other parasites (already given Frontline spray) and have received their first de-worming. Puppies' gender: MALES: Rusky, Rocky, Dasher, Whiskey, Barkly. FEMALES: Raven, Jasmine, Candy. ________________________________________________ >>> PLEASE READ >>> • Puppies, once adopted, must NOT be caged. Leashing should only be for temporary needs. • An adoption fee for their neutering (COMPULSORY) + vaccinations (first shots done) will apply, please inquire. Please feel free to call, or drop me an email, if you feel that you may be just the right person to take one of these darlings home! Thank you! :)",3,64
1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,Ding Ding is adopted. Thanks.,1,65
2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,She needs a loving and caring home...,4,66
2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,"Almond is an adorable 9 month old female cat with a pretty brown and white coat and a soft and caring nature. She loves nothing more than a rub on her tummy, and we are very sad to give her away! She comes along with Luna, they are sisters and we cannot seperate them. NO CAGING PLEASE. -included: Cat Carrier [good material]",2,68
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,Dog 4 Adoption,3,71
1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,3 month-old male puppy for adoption. a cross between two pure breeds (Labrador & Jack Russel). Had all his shots/ vaccination.Has tan & black fur. Serious pet lovers only. Looking for a good home for him as we can't keep him. Ty ♥,1,72
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,"Adopted her at a drive at Citta Mall when she was about 2 months old. She is an active and playful dog, and very obedient.",3,77
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,For Adoption,1,78
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,"This puppy is currently living in an abandoned carpark and if not adopted, might be caught by the council as people has filed complaints against them. Very cute and will be neutered and vaccinated once it is 3 months old.",3,79
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,"he is the best breed of the so you can train him easily. He is very playful.toilet, sit, come and jump trained. Moreover, his color will change to silver color when he grown. I don't have enough time to care him. He deserve to have a good family.",1,81
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,Tanto needa a good home...he is a beautiful and more ppl person.very calm personality. Hoping for adopters around penang or kulim.He is not as photogenic as his brother....but everyone that seems him...goes like ...woooww so beautiful,2,82
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,Lovely puppy with good nature looking for a home sweet home. Interested to adopt pls contact ,3,83
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,"Read story about Malee at She's very active,playful, healthy and ever since she recovers from mange & fungus, she's very manja",3,84
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,Very adorable and cute puppies Commitment to spay them when reach 6 months old is compulsory Serious adopter pls call.,2,85
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,"We was found this dog from a roadside i think its abandoned, Its a Rottweiler mix breed.. If anybody would like to take care and give him a new home by ur kind adoption pls do contact me. -Rishi Location : Taman kinrara sek 2,Puchong **Your kind adoption will give them a new life,Thanks and God Bless**",2,87
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,"Mochi, momo and Molly are siblings, about 3 months old, black and white patches cute little babies, they are toilet trained potty on newspapers. Mochi was found in the bushes on 14/4/14 Sunday morning, siblings reunion with momo and Molly on 23/4/14 morning. They are healthy, playful and love human companion very much, Mochi has received the 1st vaccination on 16/4/14 wed and dewormed, momo and Molly will be receiving theirs next week. Interested adopter can adopt anyone of them or all of them, please call or what's app fosterer . Before you decided to take them as a new family member please go through the terms and conditions for adoption : 1) must agree on neutering when they reach 6th month old. 2) no adoption fees needed, however an amount of rm will be collected to keep aside for neutering fees in future. 3) provide sufficient space to run around, no caging and tying up in the house whole area and allow indoor. 4) allow home visit from foster/rescuer to visit until they are comfortable living with adopter in new environment, it should be arranged at least once a month. 5) able to provide basic medical treatments when they fall sick as well as complete the initial 3 vaccinations follow by yearly vaccination. 6) other members in the family must be informed and agree for this adoption.",3,89
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,"Puppies are five week old and looking for good home and family that can love them and treat them as part of the family. They are still very young and need love, patients and attention , so must take care them well. Adoption conditions: 1) Adopter must be Malaysian 2) They are not small size, they need a landed property to move around. 3) Give all the health and medical attention such as vaccination, deworming, tick lotion 4) Not for factory, workshop or farm use 5) During the stage of adoption, email or sent what app picture, so I can ensure they are adjustable well to her new environment. Pls call or what app to this no if interested:",3,90
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,"Saya jumpa kucing ini yang datang di rumah. Mungkin ada orang yang buang. Keadaanya amat teruk dengan cedera dan kurap yang tebal. Saya telah membawanya ke Jabatan Haiwan untuk suntikan kurap dan merawat lukanya. Syukur kurapnya semakin baik. Cuma sedikit luka dalam proses untuk kering. Saya telah menjaganya lebih kurang satu bulan lebih. Masalah saya sekarang, si kurap tidak ngam dengan kucing jantan saya. Asyik bergaduh. Itu yg lukanya tidak baik2. Jadi saya mengambil keputusan untuk mencari sesiapa yg sudi untuk adopt dia. Dia seekor kucing yg manja, jinak dan mudah di dekati. Sesiapa yang sudi untuk mengadopt beliau sila hubungi saya melalui emel terima kasih.",3,93
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,"HeiHei was picked up from Penang SPCA on 6th Apr . He and his brother & sister should be PTS by Penang SPCA on 9th Apr . With the help from MDDB, he was given a 2nd chance to live. Refer for more details about his story.",3,95
2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,,1,96
1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,"very cute, obedient, friendly, playful and active little puppy mother of pup is a silky terrier and father of pup is a pekingese. helping a friend post this up. Adoption Fee includes neutering.",3,97
1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,Please adopt him!!! He need a home urgently. Location at jalan keris taman sri tebrau JB.,3,98
2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,owner desert them.....,1,99
2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,"These kittens were found in neighbourhood. Please adopt them, as we have no room to adopt new pets. I already have two cats of my own. The cream coloured is a male & grey is a female. Please adopt it as a pair.",2,100
1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,"Sweetie was rescued in Jan 08. The rescuer has taken great care of this mild mannered yet personable dog. She was unknowingly rescued pregnant, and gave birth to a litter of 5 pups. Sweetie is protective of the home, very friendly, very alert - makes a good watch dog and companion as well. Is not too hyper but has the energy to play too. she is suspected to be between 2-3 yrs old, is healthy, and very very pretty! See Sweetie here: and Contact:",2,101
1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,"Looking for a temporary foster home from September to the end of October. He is a very obedient, well-behaved and quiet dog. Lots of fun to have around. Looking for a nice home for two months, expenditure with regards to food will be covered.",4,102
1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,For Adoption,3,103
2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,"healty,playfull and manja sangat.",2,105
2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,"Kittens found living at restaurant, with sibling fostering until we find a home for them. See mate as Samantha on petfinder. Uncertain of sex at this time, will pay fee for neuter or spay if you wish to adopt this cat, Pre-paid with vet at the time of adoption. Please contact Mel at for details about kitten.",0,106
2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,"10 weeks old cute female kitty, lovable, cuddly seeking a new owner. Very active and playful. Toilet trained. Anyone interested can contact.",1,108
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,"This little one started hopping in and out of my house porch starting 3 weeks ago to play with my dogs. She is very active and adorable, constantly wagging her tail.",4,109
1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,"There's a groups of puppies near my working place at Relau, 2 months old. We are feeding them everyday but since they are growing fast, they start to follow their mother dog out searching for food. This area always got council people come for catching dog, and this is the access way for heavy vehicle in out very frequent. Due to they grow up, we will send them to shelter in 2 weeks time if we can't find people to adopt, our plant is moving soon so there's no one can take care of them. If interested and you are ready for getting a female dog pls contact.",3,110
2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,"Manja, comel ,dan memahami perasaan org.",4,111
1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,"Rocket was tied to back of a friend's home in our neighborhood and we decided to temporarily take it in. She is an adorable little puppy, cheerful and playful and in need of a loving home.",4,114
2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,41326,"Playful, manja, love being hug, indoor cat, litter and toilet trained.",4,117
2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,41326,DIDO female. Dibuang di kedai makan. Masih kecil. Tiada ibu. Sekor dia saja. Keadaan mula dengan sakit mata. Kelaparan. DIDO dah elok. Dah kuat makan. Dah bermain. Litter trained. Buat masa sekarang ni dia makan wetfood. Masih kecil sgt. Untuk keterangan lanjut boleh hubungi saya melalui whatsapp/ sms dan call shj. Hanya yang serius sahaja.,1,119
1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,41332,"- Beautiful dog, with a pair of smart Blue eyes - Cute and lovely companion. - Actively interact with owner - Naughty sometimes by howling all over, especially when ambulance/fire truck passes by. - Obedient, knows how to sit and hand command. - Attention seeker, it's just a 1 y/o after all - Love running around, oh ya bites too For adoption: 1. Please text me or email me. Will provide more details/photo upon request. And will arrange for a visit before adoption for Oscar's new home if you're shortlisted. 2. Looking for a responsible and caring owner who will treat the dog as family rather than a pet, and not for the sake of owning a HUSKY for ""WOW"" impression. 3. Preferably owner with experience in caring dog, and have an well environment for him to stay around. 4. Cannot always cage it and have to update me its latest status. Once a while have a meet up. If you agree with the T&C, you may send me following details: -Occupation -Address -Contact number -Currently have how many dogs -Breed -Photos of your dog *Short listed person have to arrange time to bring your dog meet up with Oscar see whether they can play together or not.",2,122
2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,41401,"Litter #2 has 4 kittens. These kittens were found dumped in a box in a shophouse area. They seem to be healthy and most probably were still on their mother's milk when they were cruelly discarded. Two grey tabbies, one almost pure black (with faint tabby markings) and one mostly white.",3,123
1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,41326,"I found 2 puppies at Ktm station teluk pulai, klang parking lot.As there is many car moving in and out in that area,i worried they will get roll over by car. I don't want send them to SPCA because they will put them to sleep if no one adopting them and I can't adopt them because I already adopt 3 stray dog in front of my house. They are healthy and adorable! I'm now fostering them and i looking for dog lovers to adopt them. Anyone want to adopt Pls call me at (chew). Adopters must agree to fully vaccinated them and also spay them when they reach 6 months old.",1,124
2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,"stray kitten together with 4 other siblings. need to be adopted in pairs. just so that they all have friends to play with. healthy, playful, active. gender & age not sure.",2,125
1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41326,Milo is a sweet boy who was abandoned in front of the Shelter by a guy whose dog got pregnant They were born into a home. Milo is a handsome mixed breed who is friendly and playful. Please open your hearts and home to him. Call us at if you wish to adopt.,1,128
1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,41332,Cute polite girlish adorable and cuddly,4,129
1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41335,"To All Kind Hearted, Hi. came across a puppy nearby my housing area. She is about 4 months old & start roaming around. Fearing that she may be run over by moving vehicle. We decided to help her to look for a home. Tiger aka Ti-girl has deticked & dewormed. She is healthy, affectionate, warm and found out that she is good in taking care the house. She will be spayed before handing over to the adopter. Please help spread the words around and help this cute FEMALE pup find a loving home. You are always welcome to contact me at below details if you interested to give her a HOME. Available Location: KL, Selangor & Kuantan Thank you. Contact: Whatsapp/SMS/Call Cheong - Ting -",4,130
2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,41326,Ibu & kitten ini milik jiran...saya pernah pulangkan....tp mrk hantar semula depan pintu rumah saya. Saya bercadang mencari keluarga baru untuk kucing ini kerana kami selalu tiada di rumah & berpindah. Plzzzzz....,1,131
2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,41332,Mummy and kitties were left at the doorstep of a kindergarten. The kitties are about 3 weeks old. Would appreciate if anyone can adopt the whole family,2,132
2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,41326,"Mocha is very playful and energetic cat. he will play 24/7. He is a handsome with amazing fur and white eye color. Eventhough he loves playing, he loves to be pampered :) he is toilet trained and loves blackwood :)",2,133
1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,41326,"I have been posting for about 1 year and I still couldn't find a home for them. I really Really really really hope someone can give them a home. =( They might get caught by MPSJ soon. 1) ""Wong"" which is the yellow female dog -When I came to Subang, she was abandon as a puppy nearby my hostel. She gave birth once and then it was spayed. She is a very fat and healthy dog. One of the most friendly stray I came across. 2) ""Choi"" which is the black male dog -It is super dependent on ""Wong"" and friendly to human too. He always get bullied by other stray dogs here, only Wong actually loves him, they will lick each other every time. If either one of them was gone, I don't know how they live their lives again. Although they are not expensive breeds but they can definitely bring joy to your life. They both located at Subang area. I can send to your place if you really can take good care of them. My contact is Darren I can provide health check fees and vaccination for them. Please please please please please please please give them a HOME. contact me please.",4,135
1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,41326,"Beautiful, lovable puppies. The mother had 9 puppies in the litter and these 3 were given to me to be given away for adoption...they are big bone and the father is huge...please call me and give them a good home. God bless.",2,136
1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,41326,She was found wandering around a playground of a housing estate with a red collar. A group of boys was throwing stones at her. We strongly believe that she was owned by someone and is a lost dog based on her behaviour. If you are interested to adopt or if you are her owner pls call me.,3,138
